text,location,state,department
"beach cleaning drives and waste management initiatives","Goa","Goa","District Waste Management"
"fishing boat safety and registration procedures","Kochi","Kerala","Ministry of Home Affairs"
"online fraud prevention and reporting mechanisms for citizens","Bengaluru Urban","Karnataka","State Police"
"bridge structural damage and repair work progress","Patna","Bihar","State Public Works"
"disaster warning systems and emergency response protocols","Guwahati","Assam","District Collector's Office"
"poaching of endangered species and conservation efforts in national parks","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of illegal goods at border checkpoints and prevention","Amritsar","Punjab","State Police"
"cybercrime reporting and investigation procedures for online fraud","Jaipur","Rajasthan","State Police"
"temple management and renovation permits application process","Bhubaneswar","Odisha","Department of Revenue"
"public health services and awareness campaigns for diseases","Raipur","Chhattisgarh","District Health Office"
"water treatment plant maintenance and upgrades for clean water supply","Ahmedabad","Gujarat","State Water Supply"
"illegal construction demolition and enforcement of building codes","Chandigarh","Chandigarh","Municipal Corporation"
"road maintenance and repair work needed urgently","Shimla","Himachal Pradesh","State Public Works"
"government school teacher shortage and recruitment drives","Srinagar","Jammu and Kashmir","District Education Office"
"power supply reliability issues and solutions for frequent outages","Agartala","Tripura","State Electricity Board"
"public park security concerns and safety measures for visitors","Puducherry","Puducherry","District Police"
"stray animal control services and sterilization programs in urban areas","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise from commercial establishments late at night complaints and regulations","Mumbai","Maharashtra","District Police"
"water quality complaints and testing results for residential areas","Pune","Maharashtra","State Water Supply"
"garbage collection issues and frequency in residential areas and solutions","Nagpur","Maharashtra","District Waste Management"
"damaged public infrastructure repair and maintenance schedule","Thane","Maharashtra","State Public Works"
"electricity meter reading discrepancies and billing errors resolution","Nashik","Maharashtra","State Electricity Board"
"dog menace in public areas and control measures implementation","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal parking fines appeal process and guidelines for citizens","Mysuru","Karnataka","Municipal Corporation"
"traffic signal malfunction and repair status updates","Mangaluru","Karnataka","Central Transport Authority"
"drainage system overflow in residential areas and solutions implementation","Belagavi","Karnataka","Municipal Corporation"
"bus service punctuality complaints and improvements in public transport","Hubballi-Dharwad","Karnataka","State Transport"
"property ownership disputes resolution and legal aid services","Lucknow","Uttar Pradesh","District Collector's Office"
"unauthorized street hawkers removal from market areas and enforcement","Kanpur","Uttar Pradesh","Municipal Corporation"
"mobile snatching investigation and prevention strategies for public safety","Ghaziabad","Uttar Pradesh","District Police"
"food safety inspection in restaurants and hygiene standards enforcement","Agra","Uttar Pradesh","District Health Office"
"road construction quality control and monitoring of ongoing projects","Varanasi","Uttar Pradesh","State Public Works"
"water supply pressure problems in high-rise buildings and solutions implementation","Chennai","Tamil Nadu","State Water Supply"
"power grid stability issues and modernization efforts for reliable supply","Coimbatore","Tamil Nadu","State Electricity Board"
"land record updates and corrections process and guidelines","Madurai","Tamil Nadu","Department of Revenue"
"public transport safety and security measures for passengers and staff","Tiruchirappalli","Tamil Nadu","State Transport"
"missing birth certificate application process and requirements for citizens","Hyderabad","Telangana","District Collector's Office"
"environmental pollution control and prevention strategies and regulations","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"passport application status and processing time for renewals and new applications","New Delhi","Delhi","Ministry of Home Affairs"
"tax audit issues and resolution procedures for businesses and individuals","New Delhi","Delhi","Ministry of Finance"
"railway station amenities and passenger facilities improvements and upgrades","New Delhi","Delhi","Ministry of Railways"
"education scholarship programs and eligibility criteria for students","New Delhi","Delhi","Ministry of Education"
"illegal mining of sand in riverbeds and its environmental impact and prevention","Ranchi","Jharkhand","Department of Revenue"
"wildlife sanctuary protection and management strategies and conservation efforts","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
"beach cleaning drives and waste management initiatives for coastal areas","Goa","Goa","District Waste Management"
"fishing boat safety and registration procedures for fishermen","Kochi","Kerala","Ministry of Home Affairs"
"online fraud prevention and reporting mechanisms for citizens and businesses","Bengaluru Urban","Karnataka","State Police"
"bridge structural damage and repair work progress and timelines","Patna","Bihar","State Public Works"
"disaster warning systems and emergency response protocols for natural calamities","Guwahati","Assam","District Collector's Office"
"poaching of endangered species and conservation efforts in national parks and sanctuaries","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of illegal goods at border checkpoints and prevention strategies","Amritsar","Punjab","State Police"
"cybercrime reporting and investigation procedures for online fraud and scams","Jaipur","Rajasthan","State Police"
"temple management and renovation permits application process and guidelines","Bhubaneswar","Odisha","Department of Revenue"
"public health services and awareness campaigns for various diseases and health issues","Raipur","Chhattisgarh","District Health Office"
"water treatment plant maintenance and upgrades for clean water supply to residents","Ahmedabad","Gujarat","State Water Supply"
"illegal construction demolition and enforcement of building codes and regulations","Chandigarh","Chandigarh","Municipal Corporation"
"road maintenance and repair work needed urgently in urban and rural areas","Shimla","Himachal Pradesh","State Public Works"
"government school teacher shortage and recruitment drives for quality education","Srinagar","Jammu and Kashmir","District Education Office"
"power supply reliability issues and solutions for frequent outages in all areas","Agartala","Tripura","State Electricity Board"
"public park security concerns and safety measures for visitors and residents","Puducherry","Puducherry","District Police"
"stray animal control services and sterilization programs in urban areas and solutions","Lucknow","Uttar Pradesh","Municipal Corporation"
"noise from commercial establishments late at night complaints and regulations enforcement","Mumbai","Maharashtra","District Police"
"water quality complaints and testing results for residential areas and solutions","Pune","Maharashtra","State Water Supply"
"garbage collection issues and frequency in residential areas and solutions implementation","Nagpur","Maharashtra","District Waste Management"
"damaged public infrastructure repair and maintenance schedule and timelines","Thane","Maharashtra","State Public Works"
"electricity meter reading discrepancies and billing errors resolution process","Nashik","Maharashtra","State Electricity Board"
"dog menace in public areas and control measures implementation and monitoring","Bengaluru Urban","Karnataka","Municipal Corporation"
"illegal parking fines appeal process and guidelines for citizens and visitors","Mysuru","Karnataka","Municipal Corporation"
"traffic signal malfunction and repair status updates and estimated time","Mangaluru","Karnataka","Central Transport Authority"
"drainage system overflow in residential areas and solutions implementation and monitoring","Belagavi","Karnataka","Municipal Corporation"
"bus service punctuality complaints and improvements in public transport services","Hubballi-Dharwad","Karnataka","State Transport"
"property ownership disputes resolution and legal aid services for citizens","Lucknow","Uttar Pradesh","District Collector's Office"
"unauthorized street hawkers removal from market areas and enforcement of rules","Kanpur","Uttar Pradesh","Municipal Corporation"
"mobile snatching investigation and prevention strategies for public safety and security","Ghaziabad","Uttar Pradesh","District Police"
"food safety inspection in restaurants and hygiene standards enforcement and monitoring","Agra","Uttar Pradesh","District Health Office"
"road construction quality control and monitoring of ongoing projects and timelines","Varanasi","Uttar Pradesh","State Public Works"
"water supply pressure problems in high-rise buildings and solutions implementation and monitoring","Chennai","Tamil Nadu","State Water Supply"
"power grid stability issues and modernization efforts for reliable supply and distribution","Coimbatore","Tamil Nadu","State Electricity Board"
"land record updates and corrections process and guidelines for citizens and businesses","Madurai","Tamil Nadu","Department of Revenue"
"public transport safety and security measures for passengers and staff and improvements","Tiruchirappalli","Tamil Nadu","State Transport"
"missing birth certificate application process and requirements for citizens and residents","Hyderabad","Telangana","District Collector's Office"
